,state_code,state,district,sero_0,N_0,sero_1,N_1,sero_2,N_2,sero_3,N_3,sero_4,N_4,sero_5,N_5,sero_6,N_6,N_tot,Rt,Rt_upper,Rt_lower,S0,I0,R0,D0,dT0,dD0,V0
107,BR,Bihar,Supaul,0.25787294,1051983.0,0.25787294,401455.0,0.27893084,294512.0,0.27104875,200508.0,0.27364140000000003,129773.0,0.23950952,99831.0,0.22797748,48006.0,2226068.0,3.086599119989282,3.291018231195032,2.8797283787504244,1518098.7766898698,0.0,708695.8771969338,0,6370.3754303732085,0,114981.52532583963
108,BR,Bihar,Vaishali,0.25991675,1513015.0,0.25991675,663686.0,0.28065532,452858.0,0.27318966,306274.0,0.27567887,199453.0,0.24141023,183889.0,0.22938076,102690.0,3421865.0,3.2009893084709637,3.358752978584341,3.041769379253825,2228344.265162656,40920.81764727039,1152593.9171900738,6,21003.786762658165,0,176747.18703970598
109,BR,Bihar,West Champaran,0.26179,2418754.0,0.26179,897668.0,0.28175366,668986.0,0.2747368,453354.0,0.27698246,297812.0,0.2426179,243581.0,0.23064694,106616.0,5086771.0,3.017864239821941,3.1911700875565847,2.8427994714711504,3383863.979870744,96473.92352172313,1606433.096607533,0,36616.18797948528,0,262743.4061148386
110,CH,Chandigarh,Chandigarh,0.35725418,324120.0,0.35725418,278291.0,0.3544239,174475.0,0.371998,129273.0,0.3836602,81867.0,0.34288222,41640.0,0.30257246,25438.0,1055104.0,1.334786377997083,1.461528540652737,1.2071060502807742,175180.6388040391,43295.36829224543,836367.9929037155,260,12644.210888904696,2,134563.0
111,CT,Chhattisgarh,Balod,0.29686847,1188092.0,0.29686847,731740.0,0.30855970000000005,488871.0,0.31067670000000003,409370.0,0.31496102,249393.0,0.27464864,173580.0,0.25181094,100683.0,3341729.0,0.7874478793752455,0.9521108078147283,0.6211978969970693,0.0,109368.53811443923,3408084.1681567943,55,68119.85946730978,4,299100.61233458895
112,CT,Chhattisgarh,Baloda Bazar,0.29521552,1552245.0,0.29521552,902054.0,0.30827636,588977.0,0.30731523,449178.0,0.31126097,262815.0,0.26901194,189959.0,0.24922060000000001,107410.0,4052638.0,1.3215118149649685,1.357999493580018,1.2849467888728126,0.0,1207852.6863302044,3167775.711123808,78,183214.20535176003,2,362730.3432954689
113,CT,Chhattisgarh,Balrampur,0.26510796,964676.0,0.26510796,476760.0,0.28468215,310837.0,0.27812064,251078.0,0.27962142,160151.0,0.24314742,123137.0,0.23067921,71789.0,2358428.0,1.9630724832006954,2.037465766516969,1.8883569604910724,731448.7624218892,0.0,1842185.4828814098,0,47971.56389869014,0,211090.5040316076
114,CT,Chhattisgarh,Bametara,0.29686847,1188092.0,0.29686847,731740.0,0.30855970000000005,488871.0,0.31067670000000003,409370.0,0.31496102,249393.0,0.27464864,173580.0,0.25181094,100683.0,3341729.0,0.7755029099880132,0.8147953891804446,0.7361207202858355,0.0,1623248.591244168,3514619.3358089025,11,170350.89372409077,2,299100.61233458895
115,CT,Chhattisgarh,Bastar,0.26903945,558799.0,0.26903945,305473.0,0.2875836,196491.0,0.28196177,161666.0,0.28503629999999996,98577.0,0.24933346,62404.0,0.2363989,28588.0,1411998.0,1.324154394064871,1.4334877627193923,1.2141235946206992,687016.741934702,41510.0771327134,683423.1809325846,48,9855.14163413278,0,126380.52529550271
116,CT,Chhattisgarh,Bijapur,0.26778108,112567.0,0.26778108,54781.0,0.28532287,35482.0,0.27651688,28320.0,0.27860928,14490.0,0.24556504,7114.0,0.23365113,2323.0,255077.0,2.294942841271966,2.6421865449048214,1.9405650925092148,163062.79399810376,0.0,94918.69473463354,11,333.62656273348887,0,22830.602628899574
117,CT,Chhattisgarh,Bilaspur,0.28249556,1066159.0,0.28249556,559325.0,0.29860040000000004,370571.0,0.29707667,284461.0,0.30174673,173655.0,0.26214296,130608.0,0.24427065,75851.0,2660630.0,1.712705636221683,1.7708138513738105,1.6544010060799055,292780.10231023654,454236.49472483643,1913444.402964927,169,74606.98731189742,10,238139.01791431246
118,CT,Chhattisgarh,Dakshin Bastar Dantewada,0.27416065,216950.0,0.27416065,118037.0,0.29154515,77428.0,0.28382352,62760.0,0.29061496,33881.0,0.25401303,17913.0,0.24080388,6376.0,533345.0,1.5184509897962855,1.69544144252356,1.3396256336141086,295568.15553697664,0.0,248122.01073282922,0,1752.924056861484,0,47736.90987078586
